Year,MonthNo,Day,Hour,Minute,Property (groups),SumPower
2021,1,1,0,0,"SmartMeter",39676.721734587234
2021,1,1,0,15,"SmartMeter",41589.603850139691
2021,1,1,0,30,"SmartMeter",39679.222292885432
2021,1,1,0,45,"SmartMeter",39750.683124762931
2021,1,1,1,0,"SmartMeter",29574.21096027541
2021,1,1,1,15,"SmartMeter",36439.409207459204
2021,1,1,1,30,"SmartMeter",35757.312533141667
2021,1,1,1,45,"SmartMeter",34087.1590079365
2021,1,1,2,0,"SmartMeter",32791.637138188613
2021,1,1,2,15,"SmartMeter",26985.717155720096
2021,1,1,2,30,"SmartMeter",34957.989455462855
2021,1,1,2,45,"SmartMeter",32363.021163422287
2021,1,1,3,0,"SmartMeter",31825.015781949536
2021,1,1,3,15,"SmartMeter",33618.958463263742
2021,1,1,3,30,"SmartMeter",26233.40880541872
2021,1,1,3,45,"SmartMeter",28514.911532567046
2021,1,1,4,0,"SmartMeter",31418.551058201057
2021,1,1,4,15,"SmartMeter",37419.002490539351
2021,1,1,4,30,"SmartMeter",38633.16258169934
2021,1,1,4,45,"SmartMeter",34298.146088223053
2021,1,1,5,0,"SmartMeter",37036.4753968254
2021,1,1,5,15,"SmartMeter",33298.245454545453
2021,1,1,5,30,"SmartMeter",34296.102651515153
2021,1,1,5,45,"SmartMeter",36170.705184309089
2021,1,1,6,0,"SmartMeter",34922.772869022876
2021,1,1,6,15,"SmartMeter",38792.93207070708
2021,1,1,6,30,"SmartMeter",43076.594143012022
2021,1,1,6,45,"SmartMeter",38503.498798377033
2021,1,1,7,0,"SmartMeter",37886.580528153288
2021,1,1,7,15,"SmartMeter",26585.720823709453
2021,1,1,7,30,"SmartMeter",22135.317260843731
2021,1,1,7,45,"SmartMeter",27923.610678038618
2021,1,1,8,0,"SmartMeter",31044.486218120208
2021,1,1,8,15,"SmartMeter",33311.459012839965
2021,1,1,8,30,"SmartMeter",34210.803357887627
2021,1,1,8,45,"SmartMeter",31350.720117990142
2021,1,1,9,0,"SmartMeter",33992.853009887724
2021,1,1,9,15,"SmartMeter",34887.6136600194
2021,1,1,9,30,"SmartMeter",33212.689862118321
2021,1,1,9,45,"SmartMeter",35847.49235167892
