Time,MarginalEmissionFactor_kg_per_MWh
01.01.2019 00:00 - 01.01.2019 01:00,492.682926829268
01.01.2019 01:00 - 01.01.2019 02:00,469.767441860465
01.01.2019 02:00 - 01.01.2019 03:00,448.888888888889
01.01.2019 03:00 - 01.01.2019 04:00,360.714285714286
01.01.2019 04:00 - 01.01.2019 05:00,342.372881355932
01.01.2019 05:00 - 01.01.2019 06:00,344.12265758092
01.01.2019 06:00 - 01.01.2019 07:00,360.714285714286
01.01.2019 07:00 - 01.01.2019 08:00,396.078431372549
01.01.2019 08:00 - 01.01.2019 09:00,727.659574468085
01.01.2019 09:00 - 01.01.2019 10:00,360.714285714286
01.01.2019 10:00 - 01.01.2019 11:00,396.078431372549
01.01.2019 11:00 - 01.01.2019 12:00,448.888888888889
01.01.2019 12:00 - 01.01.2019 13:00,396.078431372549
01.01.2019 13:00 - 01.01.2019 14:00,360.714285714286
01.01.2019 14:00 - 01.01.2019 15:00,360.714285714286
01.01.2019 15:00 - 01.01.2019 16:00,360.714285714286
01.01.2019 16:00 - 01.01.2019 17:00,360.714285714286
01.01.2019 17:00 - 01.01.2019 18:00,448.888888888889
01.01.2019 18:00 - 01.01.2019 19:00,360.714285714286
01.01.2019 19:00 - 01.01.2019 20:00,743.478260869565
01.01.2019 20:00 - 01.01.2019 21:00,360.714285714286
01.01.2019 21:00 - 01.01.2019 22:00,743.478260869565
01.01.2019 22:00 - 01.01.2019 23:00,367.272727272727
01.01.2019 23:00 - 02.01.2019 00:00,743.478260869565
02.01.2019 00:00 - 02.01.2019 01:00,348.275862068966
02.01.2019 01:00 - 02.01.2019 02:00,727.659574468085
02.01.2019 02:00 - 02.01.2019 03:00,727.659574468085
02.01.2019 03:00 - 02.01.2019 04:00,727.659574468085
02.01.2019 04:00 - 02.01.2019 05:00,727.659574468085
02.01.2019 05:00 - 02.01.2019 06:00,727.659574468085
02.01.2019 06:00 - 02.01.2019 07:00,342.372881355932
02.01.2019 07:00 - 02.01.2019 08:00,348.275862068966
02.01.2019 08:00 - 02.01.2019 09:00,381.132075471698
02.01.2019 09:00 - 02.01.2019 10:00,381.132075471698
02.01.2019 10:00 - 02.01.2019 11:00,381.132075471698
02.01.2019 11:00 - 02.01.2019 12:00,367.272727272727
02.01.2019 12:00 - 02.01.2019 13:00,367.272727272727
02.01.2019 13:00 - 02.01.2019 14:00,367.272727272727
02.01.2019 14:00 - 02.01.2019 15:00,381.132075471698
02.01.2019 15:00 - 02.01.2019 16:00,448.888888888889
02.01.2019 16:00 - 02.01.2019 17:00,492.682926829268
02.01.2019 17:00 - 02.01.2019 18:00,721.428571428572
02.01.2019 18:00 - 02.01.2019 19:00,721.428571428572
02.01.2019 19:00 - 02.01.2019 20:00,721.428571428572
02.01.2019 20:00 - 02.01.2019 21:00,480.952380952381
02.01.2019 21:00 - 02.01.2019 22:00,396.078431372549
02.01.2019 22:00 - 02.01.2019 23:00,855
02.01.2019 23:00 - 03.01.2019 00:00,381.132075471698
03.01.2019 00:00 - 03.01.2019 01:00,360.714285714286
03.01.2019 01:00 - 03.01.2019 02:00,727.659574468085
03.01.2019 02:00 - 03.01.2019 03:00,727.659574468085
03.01.2019 03:00 - 03.01.2019 04:00,727.659574468085
03.01.2019 04:00 - 03.01.2019 05:00,727.659574468085
03.01.2019 05:00 - 03.01.2019 06:00,727.659574468085
03.01.2019 06:00 - 03.01.2019 07:00,381.132075471698
03.01.2019 07:00 - 03.01.2019 08:00,396.078431372549
03.01.2019 08:00 - 03.01.2019 09:00,469.767441860465
03.01.2019 09:00 - 03.01.2019 10:00,721.428571428572
03.01.2019 10:00 - 03.01.2019 11:00,721.428571428572
03.01.2019 11:00 - 03.01.2019 12:00,721.428571428572
03.01.2019 12:00 - 03.01.2019 13:00,492.682926829268
03.01.2019 13:00 - 03.01.2019 14:00,492.682926829268
03.01.2019 14:00 - 03.01.2019 15:00,492.682926829268
03.01.2019 15:00 - 03.01.2019 16:00,492.682926829268
03.01.2019 16:00 - 03.01.2019 17:00,492.682926829268
03.01.2019 17:00 - 03.01.2019 18:00,492.682926829268
03.01.2019 18:00 - 03.01.2019 19:00,721.428571428572
