Year,MonthNo,Day,Hour,Minute,Property (groups),SumPower
2021,6,30,6,45,"SmartMeter",12236.737764653411
2021,6,30,7,0,"SmartMeter",11639.49928829189
2021,6,30,7,15,"SmartMeter",8827.3363788566512
2021,6,30,7,30,"SmartMeter",8111.0779831995378
2021,6,30,7,45,"SmartMeter",12408.655611445574
2021,6,30,8,0,"SmartMeter",10147.687034533636
2021,6,30,8,15,"SmartMeter",14409.945548088173
2021,6,30,8,30,"SmartMeter",15879.978521141913
2021,6,30,8,45,"SmartMeter",10464.92339872569
2021,6,30,9,0,"SmartMeter",10634.813098994717
2021,6,30,9,15,"SmartMeter",10719.211284813586
2021,6,30,9,30,"SmartMeter",12784.89349825613
2021,6,30,9,45,"SmartMeter",8875.9022194415866
2021,6,30,10,0,"SmartMeter",7849.7780912596163
2021,6,30,10,15,"SmartMeter",9884.426720735506
2021,6,30,10,30,"SmartMeter",14477.181325369613
2021,6,30,10,45,"SmartMeter",8928.885120765477
2021,6,30,11,0,"SmartMeter",2551.9879028576374
2021,6,30,11,15,"SmartMeter",294.4088744488605
2021,6,30,11,30,"SmartMeter",9031.763444289445
2021,6,30,11,45,"SmartMeter",7531.6339849972865
2021,6,30,12,0,"SmartMeter",4766.2743989693408
2021,6,30,12,15,"SmartMeter",-11390.268220111888
2021,6,30,12,30,"SmartMeter",-14066.058982315526
2021,6,30,12,45,"SmartMeter",-13729.741885880081
2021,6,30,13,0,"SmartMeter",-15087.64671448519
2021,6,30,13,15,"SmartMeter",-13397.693219038345
2021,6,30,13,30,"SmartMeter",-11910.133086805648
2021,6,30,13,45,"SmartMeter",-19220.995980698146
2021,6,30,14,0,"SmartMeter",-18288.384981253206
2021,6,30,14,15,"SmartMeter",-12141.6126827577
2021,6,30,14,30,"SmartMeter",-10355.474312725886
2021,6,30,14,45,"SmartMeter",-10383.604126212729
2021,6,30,15,0,"SmartMeter",-7521.4519892530152
2021,6,30,15,15,"SmartMeter",-3494.7945712372743
2021,6,30,15,30,"SmartMeter",9061.3678862896468
2021,6,30,15,45,"SmartMeter",5766.2590819572652
2021,6,30,16,0,"SmartMeter",863.992340046727
2021,6,30,16,15,"SmartMeter",-12327.271487614455
2021,6,30,16,30,"SmartMeter",-5004.5914488238814
2021,6,30,16,45,"SmartMeter",-10767.644597512068
2021,6,30,17,0,"SmartMeter",1245.4829344173327
2021,6,30,17,15,"SmartMeter",2386.8602031800438
2021,6,30,17,30,"SmartMeter",1675.2173677184494
2021,6,30,17,45,"SmartMeter",11503.805285338456
2021,6,30,18,0,"SmartMeter",15427.353676214019
2021,6,30,18,15,"SmartMeter",11993.140921933531
