Start date/time,End date/time,Residential load [kW],PV generation [kW],Electricity price [euro/kWh],Marginal emission factor [kg CO2eq/kWh]
,01/10/2021 00:00,16.88,0.0,0.09,0.0
,01/10/2021 00:15,13.38,0.0,0.09,0.0
,01/10/2021 00:30,11.71,0.0,0.09,0.0
,01/10/2021 00:45,13.37,0.0,0.09,0.0
,01/10/2021 01:00,12.6,0.0,0.07,0.0
,01/10/2021 01:15,10.87,0.0,0.07,0.0
,01/10/2021 01:30,10.38,0.0,0.07,0.0
,01/10/2021 01:45,11.04,0.0,0.07,0.0
,01/10/2021 02:00,15.47,0.0,0.06,0.0
,01/10/2021 02:15,13.4,0.0,0.06,0.0
,01/10/2021 02:30,14.18,0.0,0.06,0.0
,01/10/2021 02:45,12.33,0.0,0.06,0.0
,01/10/2021 03:00,8.64,0.0,0.05,0.0
,01/10/2021 03:15,10.97,0.0,0.05,0.0
,01/10/2021 03:30,8.65,0.0,0.05,0.0
,01/10/2021 03:45,9.74,0.0,0.05,0.0
,01/10/2021 04:00,12.65,0.0,0.05,0.0
,01/10/2021 04:15,13.73,0.0,0.05,0.0
,01/10/2021 04:30,13.93,0.0,0.05,0.0
,01/10/2021 04:45,14.85,0.0,0.05,0.0
,01/10/2021 05:00,13.96,0.0,0.06,0.0
,01/10/2021 05:15,13.94,0.0,0.06,0.0
,01/10/2021 05:30,15.43,0.0,0.06,0.0
,01/10/2021 05:45,18.42,0.0,0.06,0.0
,01/10/2021 06:00,17.39,0.0,0.1,0.0
,01/10/2021 06:15,13.26,0.0,0.1,0.0
,01/10/2021 06:30,11.92,0.0,0.1,0.0
,01/10/2021 06:45,12.01,0.0,0.1,0.0
,01/10/2021 07:00,22.44,0.0,0.13,0.0
,01/10/2021 07:15,17.65,0.0,0.13,0.0
,01/10/2021 07:30,15.0,0.0,0.13,0.0
,01/10/2021 07:45,21.51,0.01,0.13,0.0
,01/10/2021 08:00,16.28,1.95,0.14,0.0
,01/10/2021 08:15,13.32,8.77,0.14,0.0
,01/10/2021 08:30,11.73,13.13,0.14,0.0
,01/10/2021 08:45,-0.23,18.06,0.14,0.0
,01/10/2021 09:00,-15.51,32.82,0.11,0.0
,01/10/2021 09:15,-4.6,23.85,0.11,0.0
,01/10/2021 09:30,-23.18,33.89,0.11,0.0
,01/10/2021 09:45,-11.45,39.43,0.11,0.0
,01/10/2021 10:00,-8.05,29.13,0.08,0.0
,01/10/2021 10:15,5.91,17.97,0.08,0.0
,01/10/2021 10:30,-5.6,28.51,0.08,0.0
,01/10/2021 10:45,-16.78,43.69,0.08,0.0
,01/10/2021 11:00,-19.86,50.59,0.08,0.0
,01/10/2021 11:15,-13.05,39.09,0.08,0.0
,01/10/2021 11:30,-7.13,36.07,0.08,0.0
